"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
9.41472984095004e-35 0.762990687613796 0.86 0.582 1.77335851284135e-30 "21" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
8.03433821481954e-11 -0.509350335227224 0.257 0.442 1.51334794614341e-06 "22" "Bsg" "basigin"
1.00164905889032e-88 1.55117938419565 0.953 0.432 1.88670616732582e-84 "24" "Bsg" "basigin"
8.7759670550103e-65 1.13012925976144 0.922 0.39 1.65304115448174e-60 "25" "Taldo1" "transaldolase 1"
1.14876326820274e-57 1.21432202134173 0.968 0.582 2.16381049198668e-53 "25" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
5.22182702090407e-08 -0.525653903575851 0.388 0.589 0.000983583337657491 "27" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
8.28748324263408e-12 -0.661891268015143 0.318 0.589 1.56103034358256e-07 "28" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
6.75082513969041e-07 -0.508745311806114 0.202 0.398 0.0127158542331209 "28" "Taldo1" "transaldolase 1"
6.99308020627211e-172 0.574745053457758 0.341 0.014 1.31721658765341e-167 "29" "Hk3" "hexokinase 3"
2.41232782587399e-93 0.655994900066524 0.374 0.033 4.54386069281625e-89 "29" "Slc16a3" "solute carrier family 16 (monocarboxylic acid transporters), member 3"
3.81573884947029e-67 1.61397669708826 0.943 0.391 7.18732569686224e-63 "29" "Taldo1" "transaldolase 1"
6.7353713412102e-13 0.55364629852861 0.805 0.585 1.26867454583035e-08 "29" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
3.035018794142e-09 -0.570803391996876 0.195 0.441 5.71676140064587e-05 "29" "Bsg" "basigin"
2.38897462168971e-41 0.796141751077695 0.491 0.106 4.49987259741474e-37 "30" "Ldhb" "lactate dehydrogenase B"
4.59462851617245e-16 0.540912962436873 0.764 0.436 8.65444227306242e-12 "30" "Bsg" "basigin"
1.51287900702814e-14 0.260368894708856 0.282 0.079 2.8496588976382e-10 "30" "Bpgm" "2,3-bisphosphoglycerate mutase"
7.89282873815442e-11 0.450897596063115 0.837 0.585 1.48669322111877e-06 "31" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
3.89368049740022e-76 1.05354485291448 0.657 0.105 7.33413658490305e-72 "34" "Ldhb" "lactate dehydrogenase B"
5.40030478288653e-124 1.17740847383397 0.816 0.103 1.01720140890451e-119 "35" "Ldhb" "lactate dehydrogenase B"
1.84241887388271e-50 0.361498689082148 0.316 0.034 3.47038019084547e-46 "35" "Slc16a3" "solute carrier family 16 (monocarboxylic acid transporters), member 3"
8.8897955064551e-26 0.688318216537324 0.878 0.436 1.67448188159588e-21 "35" "Bsg" "basigin"
1.66761852157559e-25 0.765457974502338 0.886 0.393 3.14112624723979e-21 "36" "Taldo1" "transaldolase 1"
1.03168027134542e-06 0.324339292663505 0.852 0.585 0.0194327295910624 "36" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
9.96296987461167e-08 0.460692079931267 0.814 0.395 0.00187662500558185 "37" "Taldo1" "transaldolase 1"
2.11366761648281e-16 1.12711603461117 0.878 0.395 3.98130432240701e-12 "38" "Taldo1" "transaldolase 1"
2.06490540593233e-12 1.48089884143955 0.929 0.395 3.88945582261413e-08 "39" "Taldo1" "transaldolase 1"
1.71921773089357e-19 2.57380019876129 0.962 0.438 3.23831851791114e-15 "40" "Bsg" "basigin"
1.94571897355009e-09 1.05109671449677 0.958 0.586 3.66495625857895e-05 "41" "Gapdh" "glyceraldehyde-3-phosphate dehydrogenase"
7.67778987275302e-27 1.23646137209231 0.737 0.081 1.44618850043176e-22 "42" "Pfkfb3" "6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
