"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene" "mgi_description"
6.59112804092677e-23 -2.24579820692911 0.178 0.315 1.24150487778897e-18 "1" "Hbb-bs" "hemoglobin, beta adult s chain"
7.2888477318585e-12 -0.471621395130327 0.199 0.281 1.37292735877287e-07 "1" "Sgk1" "serum/glucocorticoid regulated kinase 1"
2.75581391170542e-10 -0.390610113257925 0.375 0.444 5.19085108408833e-06 "1" "Selenop" "selenoprotein P"
6.00286664019858e-10 -0.775993570638976 0.321 0.362 1.13069996034781e-05 "1" "Ctss" "cathepsin S"
1.51592589528993e-06 -0.363250311608096 0.295 0.35 0.0285539801636812 "1" "Gm38733" NA
3.08050539911818e-223 0.956550814908066 0.695 0.242 5.802439969779e-219 "2" "Sgk1" "serum/glucocorticoid regulated kinase 1"
5.69598334373331e-192 -1.93664806519536 0.712 0.929 1.07289542262561e-187 "2" "Fth1" "ferritin heavy polypeptide 1"
5.97235620974479e-102 -1.26266210282591 0.033 0.384 1.12495301566753e-97 "2" "Ctss" "cathepsin S"
7.11153903213076e-89 0.265306425600092 0.8 0.435 1.33952949209215e-84 "2" "Sparc" "secreted acidic cysteine rich glycoprotein"
2.58476331333905e-84 -1.06332221610347 0.052 0.362 4.86866017700544e-80 "2" "Lgals1" "lectin, galactose binding, soluble 1"
1.91262907584509e-82 -1.35768190468563 0.4 0.672 3.60262812726182e-78 "2" "LOC100862446" NA
7.45686390016236e-76 -0.905951641855349 0.062 0.353 1.40457488423458e-71 "2" "Cd44" "CD44 antigen"
3.42772789472787e-69 -1.48349026137657 0.079 0.355 6.45646826250941e-65 "2" "Apoe" "apolipoprotein E"
9.99158681653144e-57 -1.08058928037014 0.028 0.254 1.88201529276186e-52 "2" "Fcer1g" "Fc receptor, IgE, high affinity I, gamma polypeptide"
6.62269817279783e-52 -0.914349489482617 0.268 0.498 1.2474514278282e-47 "2" "Ftl1" "ferritin light polypeptide 1"
7.54773556450591e-50 -0.406227974189922 0.791 0.844 1.42169147093033e-45 "2" "Tmsb10" "thymosin, beta 10"
1.74169130956948e-45 -0.909720053465771 0.11 0.321 3.28064975070508e-41 "2" "S100a6" "S100 calcium binding protein A6 (calcyclin)"
4.24597239156667e-41 -2.14606411373802 0.405 0.519 7.99771359675498e-37 "2" "Cd74" "CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
7.24367749868623e-38 -0.606639009754737 0.223 0.418 1.36441909365254e-33 "2" "Ctsb" "cathepsin B"
1.48072862838129e-33 -0.68298288663729 0.171 0.359 2.78910044441899e-29 "2" "Gm38733" NA
2.61557381211945e-26 -0.62479276993734 0.391 0.542 4.92669483250819e-22 "2" "Prdx1" "peroxiredoxin 1"
2.06195075988248e-21 -4.24100897333432 0.33 0.439 3.88389045131464e-17 "2" "Sftpc" "surfactant associated protein C"
1.06125046847768e-14 -2.0254742962576 0.205 0.312 1.99897138242456e-10 "2" "Hbb-bs" "hemoglobin, beta adult s chain"
1.68432243309599e-10 -0.905154028789784 0.567 0.597 3.17258973497961e-06 "2" "Psap" "prosaposin"
1.29975633908187e-08 -0.265067784514309 0.377 0.444 0.000244822104029461 "2" "Bsg" "basigin"
2.01389542309298e-06 -0.325557462325574 0.388 0.43 0.0379337341893794 "2" "Anxa2" "annexin A2"
0 4.39560517475948 1 0.388 0 "3" "Sftpc" "surfactant associated protein C"
0 4.23742167717841 1 0.159 0 "3" "Sftpa1" "surfactant associated protein A1"
0 3.99390000750591 0.998 0.123 0 "3" "Slc34a2" "solute carrier family 34 (sodium phosphate), member 2"
0 3.32692626422202 0.999 0.104 0 "3" "Sftpd" "surfactant associated protein D"
0 3.11538809282264 0.988 0.156 0 "3" "Cbr2" "carbonyl reductase 2"
0 3.02653702918534 0.999 0.095 0 "3" "Lamp3" "lysosomal-associated membrane protein 3"
0 2.90570932707775 1 0.155 0 "3" "Wfdc2" "WAP four-disulfide core domain 2"
0 2.6927858816286 0.999 0.212 0 "3" "Lpcat1" "lysophosphatidylcholine acyltransferase 1"
0 2.62558704986087 0.982 0.079 0 "3" "Hc" "hemolytic complement"
0 2.16555806537121 0.946 0.168 0 "3" "Fabp5" "fatty acid binding protein 5, epidermal"
0 2.07985756076488 0.999 0.162 0 "3" "Cldn18" "claudin 18"
0 1.89686076177204 0.762 0.064 0 "3" "Bex2" "brain expressed X-linked 2"
0 1.77249818870597 0.976 0.096 0 "3" "Nkx2-1" "NK2 homeobox 1"
0 1.04055002760138 0.965 0.399 0 "3" "Bsg" "basigin"
0 -2.64069127926073 0.259 0.884 0 "3" "Tmsb10" "thymosin, beta 10"
1.3502665659378e-279 0.814932922492076 0.929 0.401 2.54336210360043e-275 "3" "Selenop" "selenoprotein P"
1.1425052967677e-243 3.11609290153425 0.422 0.081 2.15202297699164e-239 "3" "Lyz1" "lysozyme 1"
5.49891511643948e-228 -1.92111364559555 0.047 0.637 1.03577565133254e-223 "3" "Psap" "prosaposin"
5.75922443117722e-149 0.344350155530175 0.907 0.503 1.08480751385654e-144 "3" "Prdx1" "peroxiredoxin 1"
